Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 052 007 100 078 034
2134 090 036 090 077 030
3124 100 045 020 090 070
4532 011 017 081 032 077
5678 020 012 045 078 034
6134 034 080 055 078 045
7874 060 100 056 078 078
8026 070 010 066 078 056
9893 034 009 077 078 020
1947 045 040 088 078 055
2877 055 050 099 078 080
3189 022 070 100 078 077
4602 089 050 091 078 060
5405 011 011 000 078 010
6999 000 098 089 078 020
1235 052 007 100 078 034
2136 090 036 090 077 030
3127 100 045 020 090 070
4537 011 017 081 032 077
5677 020 012 045 078 034
6130 034 080 055 078 045
7870 060 100 056 078 078
8020 070 010 066 078 056
9890 034 009 077 078 020
1940 045 040 088 078 055
2875 055 050 099 078 080
3185 022 070 100 078 077
4605 089 050 091 078 060
5402 011 011 000 078 010
6992 000 098 089 078 020
1232 052 007 100 078 034
2132 090 036 090 077 030
3122 100 045 020 090 070
4535 011 017 081 032 077
5675 020 012 045 078 034
6132 034 080 055 078 045
7872 060 100 056 078 078
8022 070 010 066 078 056
9892 034 009 077 078 020
1942 045 040 088 078 055
